Country;Color code
TOTAL;1.0
ABW;0.0
AFG;1.489198203520814
AGO;0.5626240363520478
ALB;0.012006652454734115
AND;0.0
ARB;7.101668553975739
ARE;0.007084507731135502
ARG;0.01344216350383698
ARM;2.54485570511108
ASM;0.0
ATG;0.0
AUS;0.11431197371018499
AUT;0.8583480415778638
AZE;0.045890800897528554
BDI;4.340237483730549
BEL;0.25887758167790503
BEN;0.05966914854832017
BFA;0.8797030745903377
BGD;3.429396882528481
BGR;0.7367826557400069
BHR;0.020693779274878494
BHS;0.0019686853802080135
BIH;0.548364876092692
BLR;0.07674113569368392
BLZ;0.0
BMU;0.0
BOL;0.030482077004795275
BRA;0.011795340866493961
BRB;0.0
BRN;0.0
BTN;0.0
BWA;0.2673290509079402
CAF;1.5880935073144067
CAN;0.19692032403600176
CEB;0.08768828947629684
CHE;0.43992059758034363
CHI;0.0
CHL;0.017537357978372633
CHN;0.060610459564252046
CIV;0.03715644678589747
CMR;8.271145242345224
COD;4.787015485363328
COG;5.442708817732259
COL;0.0015709023059435356
COM;0.0
CPV;0.0
CRI;0.19135354530652016
CSS;0.01076302713305787
CUB;0.007919182740730397
CUW;0.06609837955194973
CYM;0.015019813912945209
CYP;1.1953703892576926
CZE;0.04653146723332263
DEU;0.8202091959194368
DJI;8.824674773405842
DMA;0.0
DNK;0.3406537008663967
DOM;0.015786498592591368
DZA;0.9349959501205708
EAP;0.07997867460902554
EAR;2.011860978246038
EAS;0.060923363230495055
ECA;2.470994121007825
ECS;0.814120291779486
ECU;1.7879061032790395
EGY;1.2297063491794504
EMU;0.44420888680577525
ERI;0
ESP;0.03941468219594466
EST;0.03978839898745554
ETH;5.696597984682179
EUU;0.44230640703465834
FCS;5.700628590517472
FIN;0.252564493191414
FJI;0.002621609049844151
FRA;0.3979907316104937
FRO;0.0
FSM;0.0
GAB;0.11851055550238732
GBR;0.140003740035243
GEO;0.21956289995268838
GHA;0.2268456844543048
GIB;0.0
GIN;0.28587708632920344
GMB;2.5180189311383807
GNB;4.200814186186067
GNQ;0.0
GRC;0.5310202626792615
GRD;0.0
GRL;0.0
GTM;0.008309558240147931
GUM;0.0
GUY;0.00347914527473259
HIC;0.17475907349605807
HKG;0.0007264305455599952
HND;0.0009173765713354431
HPC;4.756102438909749
HRV;0.02087487679778505
HTI;0.0
HUN;0.10455435102459919
IBD;0.7530875050315095
IBT;1.1956162573838964
IDA;3.6058250734148016
IDB;2.3448415658472275
IDN;0.015561648075322747
IDX;4.317676335101301
IMN;0.0
IND;0.0806545573255856
INX;0
IRL;0.06028756528924133
IRN;4.181867341174342
IRQ;2.661278592260315
ISL;0.04189550094506055
ISR;0.22257380689962175
ITA;0.2560175285857029
JAM;0.0010002921884342648
JOR;119.88575364655011
JPN;0.001373928972054995
KAZ;0.008400870401926035
KEN;5.047612609916796
KGZ;0.0335215404983418
KHM;0.002309691538178523
KIR;0.0
KNA;0.0
KOR;0.004269368853696549
KWT;0.014939777457060406
LAC;0.10499012807305334
LAO;0.0
LBN;60.60338448493006
LBR;1.6329522782611785
LBY;0.48266251196646565
LCA;0.0
LCN;0.09838356124233531
LDC;4.337833677819035
LIC;5.17761824381974
LIE;3.284705265522823
LKA;0.015587920540682403
LMC;1.2340416060992416
LMY;1.3483352281654373
LSO;0.014916439449417234
LTE;0.2533135684575173
LTU;0.0885545053643297
LUX;0.10149125565906371
LVA;0.05630183994923389
MAC;0.0
MAF;0.0
MAR;0.06111059962922877
MCO;0.01286544187125065
MDA;0.059128919293613844
MDG;0.0009548197970154277
MDV;0.0
MEA;5.989139384593713
MEX;0.018039878049895333
MHL;0.0
MIC;1.1002736643223052
MKD;0.06914472172036899
MLI;0.6196458692467838
MLT;1.8259833787751927
MMR;0.0
MNA;10.122195397562402
MNE;0.3580849176470417
MNG;0.0
MNP;0.0
MOZ;0.1233781441839393
MRT;11.447488062129539
MUS;0.0
MWI;0.3775152728154113
MYS;0.7814263423621406
NAC;0.058528641491000385
NAM;0.3115145279686582
NCL;0.0
NER;5.676657192333961
NGA;0.005463441608046669
NIC;0.026849842625881342
NLD;0.3887935879713217
NOR;0.47609865972540727
NPL;0.5147150437055356
NRU;19.024477473569863
NZL;0.02142656351129727
OED;0.38972801545643904
OMN;0.011558503129974208
OSS;0.39674923944789664
PAK;4.004987995954911
PAN;0.1009494571133918
PER;0.017346188319094756
PHL;0.0021603262245623624
PLW;0.0
PNG;0.582927668920557
POL;0.06017262323848591
PRE;3.6723747318809656
PRI;0.0
PRK;0.0
PRT;0.020110367518658474
PRY;0.009728875818553523
PSE;225.70334887125756
PSS;0.15950570669883052
PST;0.186639012477353
PYF;0.0
QAT;0.003567194144430514
ROU;0.04463120291810998
RUS;0.19512648902697233
RWA;9.736170816013274
SAS;0.8157326635741909
SAU;0.0006052863767110199
SDN;10.422848606816409
SEN;0.5776606315565045
SGP;0.0
SLB;0.0
SLE;0.06523640183776049
SLV;0.0019622135325281045
SMR;0.0
SOM;0.749200781110636
SRB;1.4806042049339614
SSA;3.51011400357848
SSD;20.941720961956857
SSF;3.5090175012589975
SST;0.33004168493172586
STP;0.0
SUR;0.017964057811266265
SVK;0.025424442128986695
SVN;0.03501969135162738
SWE;1.3990178629071492
SWZ;0.2824130583337316
SXM;0.09935498569293841
SYC;0.0
SYR;26.91456891346958
TCA;0.0
TCD;19.072823710770987
TEA;0.08044404029690698
TEC;2.156611996086888
TGO;1.1318987574876582
THA;0.4746011805195335
TJK;0.19163242508737632
TKM;0.0011990706063223226
TLA;0.10181948464686313
TLS;0.0
